Identificador Peso Valor
1 	5	10
2 	10	1
3 	100	50
4 	500	100
5 	11	99
6 	53	33
7 	12	100
8 	66	500
9 	13	5
10	7	77
11	5	10
12	10	1
13	100	50
14	500	100
15	11	99
16	53	33
17	12	100
18	66	500
19	13	5
20	7	77
21	5	10
22	10	1
23	100	50
24	500	100
25	11	99
26	53	33
27	12	100
28	66	500
29	13	5
30	7	77
31	5	10
32	10	1
33	100	50
34	500	100
35	11	99
36	53	33
37	12	100
38	66	500
39	13	5
40	7	77
41	5	10
42	10	1
43	100	50
44	500	100
45	11	99
46	53	33
47	12	100
48	66	500
49	13	5
50	7	77
51	5	10
52	10	1
53	100	50
54	500	100
55	11	99
56	53	33
57	12	100
58	66	500
59	13	5
60	7	77
61	5	10
62	10	1
63	100	50
64	500	100
65	11	99
66	53	33
67	12	100
68	66	500
69	13	5
70	7	77
71	5	10
72	10	1
73	100	50
74	500	100
75	11	99
76	53	33
77	12	100
78	66	500
79	13	5
80	7	77
81	5	10
82	10	1
83	100	50
84	500	100
85	11	99
86	53	33
87	12	100
88	66	500
89	13	5
90	7	77
91	5	10
92	10	1
93	100	50
94	500	100
95	11	99
96	53	33
97	12	100
98	66	500
99	13	5
100	7	77

